Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
work_time_en,form_1,"<b><u>During the past 4 weeks</b></u>, have you had any of the following problems with your work or other regular daily activities as a result of your <b><u>physical health</b></u>?",radio,Cut down the amount of time you spent on work or other activities,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissueshealthen,,
achieve_less_en,form_1,,radio,Accomplished less than you would like,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissueshealthen,,
limits_work_en,form_1,,radio,Were limited in the kind of work or other activities,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissueshealthen,,
difficulties_en,form_1,,radio,Had difficulty performing the work or other activities (for example it took extra effort),"1, Yes | 2, No",,,,,,[language]=2,y,,,workissueshealthen,,
work_time_anx_en,form_1,"<b><u>During the past 4 weeks</b></u>, have you had any of the following problems with your work or other regular activities as a result of any <b><u>emotional problems</b></u> (such as feeling depressed or anxious)?",radio,Cut down the amount of time you spent on work or other activities,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissuesanxietyen,,
achieve_less_anx_en,form_1,,radio,Accomplished less than you would like,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissuesanxietyen,,
difficulty_anx_en,form_1,,radio,Didn't do work or other activities as carefully as usual,"1, Yes | 2, No",,,,,,[language]=2,y,,,workissuesanxietyen,,
social_activities_en,form_1,,radio,"<b><u>During the past 4 weeks</b></u>, to what extent has your physical health or emotional problems interfered with your normal social activities with family, friends, neighbours or groups?","1, Not at all | 2, Slightly | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,[language]=2,y,LV,,,,
lifefull_en,form_1,"These questions are about how you feel and how things have been with you <b><u>during the past 4 weeks</b></u>. For each question, please give the one answer that comes closest to the way you have been feeling.

During the last 4 weeks, how often...",radio,Did you feel full of life?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
nervous_en,form_1,,radio,Have you been a very nervous person?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
not_satisfied_en,form_1,,radio,Have you felt so down in the dumps that nothing could cheer you up?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
calm_en,form_1,,radio,Have you felt calm and peaceful?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
energetic_en,form_1,,radio,Did you have a lot of energy?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
melancholy_en,form_1,,radio,Have you felt downhearted and blue?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
exhausted_en,form_1,,radio,Did you feel worn out?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
happy_en,form_1,,radio,Have you been a happy person?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
tired_en,form_1,,radio,Did you feel tired?,"1, All of the time | 2, Most of the time | 3, A good bit of the time | 4, Some of the time | 5, A little of the time | 6, None of the time",,,,,,[language]=2,y,,,mental_health_en,,
social_contacts_en,form_1,,radio,"<b><u>During the past 4 weeks</b></u>, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting with friends, relatives, etc.)?","1, All of the time | 2, Most of the time | 3, Some of the time | 4, A little of the time | 5, None of the time",,,,,,[language]=2,y,LV,,,,
sick_en,form_1,How TRUE or FALSE is each of the following statements for you?,radio,I seem to get sick a little easier than other people,"1, Definitely true | 2, Mostly true | 3, Don't know | 4, Mostly false | 5, Definitely false",,,,,,[language]=2,y,,,trueorfalseen,,
healthy_en,form_1,,radio,I am as healthy as anybody I know,"1, Definitely true | 2, Mostly true | 3, Don't know | 4, Mostly false | 5, Definitely false",,,,,,[language]=2,y,,,trueorfalseen,,
worse_health_en,form_1,,radio,I expect my health to get worse,"1, Definitely true | 2, Mostly true | 3, Don't know | 4, Mostly false | 5, Definitely false",,,,,,[language]=2,y,,,trueorfalseen,,
perfect_health_en,form_1,,radio,My health is excellent,"1, Definitely true | 2, Mostly true | 3, Don't know | 4, Mostly false | 5, Definitely false",,,,,,[language]=2,y,,,trueorfalseen,,
climate_change_en,form_1,<center> Environmental Health Risks,radio,Do you see evidence of climate change on the planet?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,[language]=2,y,LV,,,,
accidents_en,form_1,"With environmental factors in mind, such as climate change, pollution and (toxic) waste, how often do you think will the following health issues occur in 2031 (in 10 years) compared to now, in Cyprus?",radio,The amount of people with an injury,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
asthma_patients_en,form_1,,radio,The amount of people with asthma,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
cancer_patients_en,form_1,,radio,The amount of people with cancer,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
obese_people_en,form_1,,radio,The amount of people with obesity,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
type2_diabetes_en,form_1,,radio,The amount of people with Type 2 Diabetes,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
hypertension_patients_en,form_1,,radio,The amount of people with high blood pressure,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
infectious_disease,form_1,,radio,The amount of people with infectious diseases,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,y,,,patients_matrix_en,,
mental_health_en,form_1,,radio,The amount of people with mental health problems,"1, Much more | 2, Somewhat more | 3, About the same | 4, Somewhat less | 5, Much less",,,,,,[language]=2,,,,patients_matrix_en,,
increase_temp_en,form_1,To what degree do you think that the following factors are being influenced by climate change?,radio,Temperature rise (global warming),"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
extreme_weather_en,form_1,,radio,Extreme weather events,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
atmospheric_pollution_en,form_1,,radio,Contamination of air,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
water_pollution_en,form_1,,radio,Contamination of water,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
food_contamination_en,form_1,,radio,Contamination of food,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
soil_pollution_en,form_1,,radio,Contamination of land,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
radiation_en,form_1,,radio,Radiation level,"1, Extremely influenced | 2, Quite a bit influenced | 3, Moderately influenced | 4, Slightly influenced",,,,,,[language]=2,y,,,factors_climate_en,,
worse_effect_en,form_1,,checkbox,"Choose 5 of the following factors that, in your opinion, have the worst effect on your health.","1, Air pollution | 2, Chemicals in water and food | 3, Agricultural pollution | 4, Noise pollution | 5, Consumption habits | 6, Invasive species | 7, Water pollution | 8, Water scarcity | 9, (Toxic) waste | 10, Exhaustion of natural resources | 11, Biodiversity loss | 12, Soil degradation | 13, Flooding",,,,,,[language]=2,y,LV,,,,
factors_affect_health_en,form_1,,radio,How important do you think environmental factors are in causing diseases?,"1, Very important | 2, Somewhat important | 3, Not too important | 4, Not important at all | 5, Don't know",,,,,,[language]=2,y,LV,,,,
atmospheric_pollution_h_en,form_1,How dangerous do you think the following environmental exposures are for your health?,radio,Air pollution,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
water_pollution_h_en,form_1,,radio,Water pollution,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
chemicals_en,form_1,,radio,Chemicals in water and food,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
waste_en,form_1,,radio,(Toxic) waste,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
heatwave_en,form_1,,radio,Heatwave,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
floods_en,form_1,,radio,Flooding,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
scarcity_en,form_1,,radio,Water scarcity,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
rural_pollution_en,form_1,,radio,Agricultural pollution,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
noise_pollution_en,form_1,,radio,Noise pollution,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
consum_habits_en,form_1,,radio,Consumption habits,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
invasive_items_en,form_1,,radio,Invasive species,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
depl_natural_resources_en,form_1,,radio,Exhaustion of natural resources,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
biodiversity_reduction_en,form_1,,radio,Biodiversity loss,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
soil_degradation_en,form_1,,radio,Soil degradation,"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
covid_en,form_1,,radio,SARS-CoV-2 (virus causing COVID-19),"1, Very serious danger | 2, Somewhat serious danger | 3, Somewhat minor danger | 4, No danger at all | 5, Don't know",,,,,,[language]=2,y,,,danger_health_en,,
cancer_child_en,form_1,"Now thinking of some specific illnesses, do you think environmental factors play a major role, minor role or no role at all in causing the following illnesses?",radio,"Cancer in children, such as leukaemia","1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
infertility_en,form_1,,radio,Infertility,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
asthma_child_en,form_1,,radio,Asthma in children,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
allergies_en,form_1,,radio,Sinus and allergy problems,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
genetic_abnormalities_en,form_1,,radio,Birth defects,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
breast_cancer_en,form_1,,radio,Breast cancer,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
hypertension_en,form_1,,radio,High blood pressure,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
flu_en,form_1,,radio,Colds and flus,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
prostatic_cancer,form_1,,radio,Prostate cancer,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
brain_tumour,form_1,,radio,Brain tumours,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
asthma_adults_en,form_1,,radio,Asthma in adults,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
obesity_en,form_1,,radio,Obesity,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
type_ii_diabetes_en,form_1,,radio,Diabetes type 2,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
thyroid_cancer_en,form_1,,radio,Thyroid cancer,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
vector_borne_infdis_en,form_1,,radio,"Vector borne diseases, such as malaria and dengue","1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
infectious_diseases_1_en,form_1,,radio,"Infectious diseases, such as measles, tuberculosis, hepatitis","1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
covid19_en,form_1,,radio,COVID-19,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
depression_en,form_1,,radio,Mental health problems such as depression and anxiety,"1, Major role | 2, Minor role | 3, No role at all | 4, Don't know",,,,,,[language]=2,y,,,factorshealthen,,
action1_en,form_1,"In your opinion, how much can people like you do to protect yourself from the following?",radio,"Infectious diseases such as measles, tuberculosis, hepatitis or COVID-19","1, A great deal | 2, Moderate amount | 3, A little | 4, Nothing at all | 5, Don't know",,,,,,[language]=2,y,,,actionsen,,
action2_en,form_1,,radio,"Health problems caused by environmental problems such as climate change, pollution or (toxic) waste","1, A great deal | 2, Moderate amount | 3, A little | 4, Nothing at all | 5, Don't know",,,,,,[language]=2,y,,,actionsen,,
info_en,form_1,<center> Information Sources ,checkbox,Choose up to 5 sources of information where you get information about environmental health risks from.,"1, Social media and the Internet | 2, Television news | 3, Films and documentaries on television | 4, Conversations with relatives, family, friends, neighbours, etc. | 5, Newspapers | 6, Medical doctors | 7, Education/ lectures/ courses | 8, Publications, brochures or information materials | 9, The radio | 10, Magazines | 11, Books | 12, Events (conferences, fairs, exhibitions, festivals, etc.) | 13, Politicians | 14, Other",,,,,,[language]=2,y,LV,,,,
other_info_en,form_1,,text,"If you chose other, please specify 
",,,,,,,[language]=2,,LV,,,,
internet_en,form_1,How reliable do you consider the following information sources to be?,radio,Social media and the internet,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
news_en,form_1,,radio,Television news,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
movies_en,form_1,,radio,Films and documentaries on television,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
discussions_en,form_1,,radio,"Conversations with relatives, family, friends, neighbours, etc.","1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
newspapers_en,form_1,,radio,Newspapers,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
doctors_en,form_1,,radio,Medical doctors,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
educational_material_en,form_1,,radio,Education/lectures/courses,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
publication_en,form_1,,radio,"Publications, brochures or information materials","1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
radio_en,form_1,,radio,The radio,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
magazines_en,form_1,,radio,Magazines,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
books_en,form_1,,radio,Books,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
events_en,form_1,,radio,"Events (conferences, fairs, exhibitions, festivals, etc.)","1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
politicans,form_1,,radio,Politicians,"1, Extremely reliable | 2, Quite a bit reliable | 3, Moderately reliable | 4, Slightly reliable | 5, Not at all reliable",,,,,,[language]=2,y,,,trust_en,,
community_environment_en,form_1,"Some people say they do not have enough information about the discussed topics. How about you? Do you have
enough information about this or would you like more information?",radio,The state of the environment in your community.,"1, Yes, I have enough information | 2, No, I would like more information | 3, No, and I don't wish to have more information | 4, Don't know",,,,,,[language]=2,y,,,more_info_en,,
effects_climate_change_en,form_1,,radio,The impact of climate change on the Cypriot population.,"1, Yes, I have enough information | 2, No, I would like more information | 3, No, and I don't wish to have more information | 4, Don't know",,,,,,[language]=2,y,,,more_info_en,,
protect_health_issues_en,form_1,,radio,What they can do to protect themselves and their family from environmental health problems.,"1, Yes, I have enough information | 2, No, I would like more information | 3, No, and I don't wish to have more information | 4, Don't know",,,,,,[language]=2,y,,,more_info_en,,
protect_from_cl_change_en,form_1,,radio,What they can do to protect themselves and their family from consequences of climate change.,"1, Yes, I have enough information | 2, No, I would like more information | 3, No, and I don't wish to have more information | 4, Don't know",,,,,,[language]=2,y,,,more_info_en,,
want_info_en,form_1,,checkbox,Choose up to 5 ways of how you would like to receive information regarding environmental health risks?,"1, Social media and the Internet | 2, Television news | 3, Films and documentaries | 4, Conversations with relatives, family, friends, neighbours, etc. | 5, Newspapers | 6, Medical doctors | 7, Education/lectures/courses | 8, brochures or information materials | 9, The radio | 10, Magazines | 11, Books | 12, Events (conferences, fairs, exhibitions, festivals, etc.) | 13, Politicians | 14, Other",,,,,,[language]=2,y,LV,,,,
other_info_2_en,form_1,,text,"If you chose other, please specify ",,,,,,,[language]=2,,LV,,,,
age_en,form_1,<center> General Information,text,Age ,,,integer,18,110,,[language]=2,y,LV,,,,
sex_en,form_1,,radio,Sex,"1, Male | 2, Female | 3, Prefer not to say",,,,,,[language]=2,y,LV,,,,
place_of_birth_en,form_1,,radio,How would you describe your place of birth?,"1, Large city | 2, Suburb near large city | 3, Small city | 4, Rural",,,,,,[language]=2,y,LV,,,,
education_level_en,form_1,,radio,Which is the highest level of education which you have successfully completed? Please include any training that you have received within your work.,"1, I have never been to school | 2, I have not completed Primary School | 3, Primary School | 4, Middle School (3 years) | 5, High School/ Vocational High School (diploma) | 6, Higher (after high school) non-tertiary Education | 7, Higher Tertiary Education (non-university) | 8, University (Bachelor degree) | 9, University- Postgraduate (Master's Degree) | 10, PhD",,,,,,[language]=2,y,LV,,,,
occupational_status_en,form_1,,radio,"	
Professional Status","1, Employed/ self-employed | 2, Retired | 3, Student | 4, Unemployed/ Out of employment | 5, Housekeeping",,,,,,[language]=2,y,LV,,,,
district_en,form_1,,radio,Where do you currently live?,"1, Paphos district | 2, Limassol district | 3, Nicosia district | 4, Famagusta district | 5, Lamaca district | 6, Other district | 7, Not living in Cyprus",,,,,,[language]=2,y,LV,,,,
area_discr_en,form_1,,radio,How would you describe your place of residence?,"1, Large city | 2, Suburb near large city | 3, Small city | 4, Rural",,,,,,[language]=2,y,LV,,,,
rate_area_en,form_1,,radio,How would you rate your community as a place to live?,"1, Very good | 2, Somewhat good | 3, Somewhat bad | 4, Very bad | 5, Don't know",,,,,,[language]=2,y,LV,,,,
marital_status_en,form_1,,radio,What is your marital status?,"1, Unmarried | 2, Married | 3, Divorced | 4, Widowed",,,,,,[language]=2,y,LV,,,,
children_en,form_1,,radio,"	
Do you have children?","1, Yes | 2, No",,,,,,[language]=2,y,LV,,,,
